id,number,state,merged,additions,deletions,changed_files,total_changes,net_line_change,commits,avg_changes_per_file,max_file_changes,test_files_changed,test_change_ratio,created_at,closed_at,pr_age_hours,comments,review_comments,num_reviewers,approvals,title,body,description_length,title_length,repo,contains_refactor,contains_rewrite,contains_breaking,contains_deprecated,contains_fix,contains_bug,control_statements_count,function_definitions_count,class_definitions_count,todo_count,structural_change_score
3338354469,298409,open,0,34,6,2,40,28,2,20.0,38,0,0.0,2026-02-28T07:15:37Z,,0.4,0,1,2,1,sessions - show command in toast and show it more often,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",344,55,microsoft/vscode,0,0,0,0,0,0,7,0,2,0,13
3338313703,298407,closed,1,1,3,1,4,-2,1,4.0,4,0,0.0,2026-02-28T06:38:43Z,2026-02-28T07:22:23Z,0.73,0,0,2,1,sessions - disable implicit context,"As no editor can open non-modal, this is not helping much.

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",404,35,microsoft/vscode,0,0,0,0,0,0,0,0,0,0,0
3338082380,298403,open,0,215,8,7,223,207,2,31.86,84,0,0.0,2026-02-28T03:28:38Z,,4.18,0,5,2,1,customizations: allow transient selection of the folder to explore customizations against,,0,89,microsoft/vscode,0,0,0,0,0,0,15,8,16,0,79
3337976802,298400,open,0,46,2,5,48,44,1,9.6,23,0,0.0,2026-02-28T02:08:19Z,,5.52,0,0,0,0,"fix stray checkmarks, consistent opacity, and icon not showing up","1. on error retries, checkmarks were still being shown
2. applies same opacity styling to subagent and mcp tool calls
3. in a change on thursday, accidentally removed the console button in thinking dropdowns. fix https://github.com/microsoft/vscode/issues/298310",264,65,microsoft/vscode,0,0,0,0,1,0,5,2,2,0,15
3337873521,298395,closed,1,8,2,1,10,6,1,10.0,10,0,0.0,2026-02-28T01:07:32Z,2026-02-28T07:21:09Z,6.23,0,2,2,1,set repository for cloud sessions,,0,33,microsoft/vscode,0,0,0,0,0,0,4,0,2,0,10
3337847995,298392,open,0,1366,0,24,1366,1366,32,56.92,465,17,0.9905,2026-02-28T00:53:00Z,,6.78,0,4,1,0,Add agent sessions functionality and corresponding tests,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",351,56,microsoft/vscode,0,0,0,0,0,0,79,58,12,0,231
3337817989,298388,closed,1,17,9,1,26,8,3,26.0,26,0,0.0,2026-02-28T00:39:51Z,2026-02-28T01:01:31Z,0.36,0,0,1,1,Terminal sandboxing is broken when AllowTrustedDomains flag is set to true,"fixes(https://github.com/microsoft/vscode/issues/298332)
Terminal sandboxing is broken when AllowTrustedDomains flag is set to true and trusted domains contains Urls instead of just domains.",191,74,microsoft/vscode,0,0,0,0,1,0,5,0,2,0,11
3337787031,298387,closed,1,30,9,4,39,21,3,9.75,14,0,0.0,2026-02-28T00:24:20Z,2026-02-28T00:51:14Z,0.45,0,2,2,2,fix setting repo,,0,16,microsoft/vscode,0,0,0,0,1,0,9,0,7,0,30
3337767267,298386,closed,0,0,0,0,0,0,1,0.0,0,0,0.0,2026-02-28T00:15:25Z,2026-02-28T00:21:19Z,0.1,0,0,0,0,No changes made (empty issue),"The problem statement contained no actionable requirements (""hi""). No changes were made to the repository.

<!-- START COPILOT ORIGINAL PROMPT -->



<details>

<summary>Original prompt</summary>

> hi


</details>



<!-- START COPILOT CODING AGENT SUFFIX -->

Created from [VS Code](https://code.visualstudio.com/docs/copilot/copilot-coding-agent).

<!-- START COPILOT CODING AGENT TIPS -->
---

✨ Let Copilot coding agent [set things up for you](https://github.com/microsoft/vscode/issues/new?title=✨+Set+up+Copilot+instructions&body=Configure%20instructions%20for%20this%20repository%20as%20documented%20in%20%5BBest%20practices%20for%20Copilot%20coding%20agent%20in%20your%20repository%5D%28https://gh.io/copilot-coding-agent-tips%29%2E%0A%0A%3COnboard%20this%20repo%3E&assignees=copilot) — coding agent works faster and does higher quality work when set up for your repo.
",878,29,microsoft/vscode,0,0,0,0,1,0,0,0,0,0,0
3337761038,298385,closed,1,44,4,4,48,40,1,12.0,22,1,0.0833,2026-02-28T00:11:41Z,2026-02-28T00:32:53Z,0.35,0,0,1,1,Fix session resource aliasing in chat sessions,"Implement a mechanism to register aliases for session resources, allowing session-option lookups to redirect to the correct canonical resource. This change enhances the handling of chat sessions by ensuring that the correct resources are used in session management.

I think this is pretty fragile, but it fixes the critical issues that need to be fixed this release.

fixes https://github.com/microsoft/vscode/issues/298378",424,46,microsoft/vscode,0,0,0,0,1,0,6,2,5,0,25
3337731293,298383,open,0,49,3,11,52,46,4,4.73,7,2,0.25,2026-02-27T23:57:59Z,,7.7,0,1,1,0,Metered network connection fixes,,0,32,microsoft/vscode,0,0,0,0,1,0,4,5,9,0,41
3337659391,298377,open,0,101,71,4,172,30,2,43.0,129,0,0.0,2026-02-27T23:16:42Z,,8.39,0,3,2,0,Polish question carousel,"## Summary

Polish pass on the question carousel component.

### Visual / CSS changes
- Use `--vscode-chat-list-background` instead of `--vscode-chat-requestBackground` for consistent background styling
- Use design token border radii (`--vscode-cornerRadius-large`, `--vscode-cornerRadius-medium`, `--vscode-cornerRadius-small`) instead of hardcoded `4px`/`3px` values
- Add theme-2026 override for `border-radius: var(--radius-lg)` on the carousel container
- Fix `list.activeSelectionBackground` in 2026-dark theme (`#3994BC26` → `#262728`)
- Restructure header/content padding: move padding from inner elements to structural containers, add explicit `border-bottom` on title row
- Move question message block out of `chat-question-header-row`, give it its own `12px 16px` padding
- Remove focus outlines on list items and list container; rely on selected-state styling instead
- Remove border/outline from freeform textarea on focus
- Suppress button border and box-shadow on nav/skip buttons (`!important` overrides)
- Adjust list item alignment to `center`, badge number font-size to `10px`, label font-weight to `500`
- Add `opacity: 0.7` on selected badge indicator and freeform-focused badge
- Add `line-height: 1rem` on keybinding labels
- Adjust footer padding to `4px 8px 4px 16px`

### Keyboard navigation
- Arrow Down from the last list item moves focus to the freeform textarea (both single-select and multi-select)
- Arrow Up from the freeform textarea (when cursor is at position 0) moves focus to the last list item

### Answer priority
- For single-select questions: a selected list option now takes priority over draft freeform text (previously freeform took priority)",1688,24,microsoft/vscode,0,0,0,0,1,0,12,2,5,0,31
3337642730,298374,closed,1,44,4,4,48,40,1,12.0,22,1,0.0833,2026-02-27T23:08:33Z,2026-02-27T23:24:40Z,0.27,1,1,2,1,Fix session resource aliasing in chat sessions,"Implement a mechanism to register aliases for session resources, allowing session-option lookups to redirect to the correct canonical resource. This change enhances the handling of chat sessions by ensuring that the correct resources are used in session management.

I think this is pretty fragile, but it fixes the critical issues that need to be fixed this release.

ref https://github.com/microsoft/vscode/issues/298378",426,46,microsoft/vscode,0,0,0,0,1,0,6,2,5,0,25
3337634109,298372,closed,1,17,9,1,26,8,3,26.0,26,0,0.0,2026-02-27T23:04:32Z,2026-02-28T00:41:28Z,1.62,0,2,2,1,Terminal sandboxing errors out when trusted domains are urls instead of domains.,"fixes(#298332)
Terminal sandboxing is broken when AllowTrustedDomains flag is set to true and trusted domains contains Urls instead of just domains.",149,80,microsoft/vscode,0,0,0,0,1,0,5,0,2,0,11
3337575900,298370,open,0,694,4,5,698,690,1,139.6,568,0,0.0,2026-02-27T22:34:52Z,,9.09,1,6,2,1,chat: add plugin details editor with reactive action updates,"
- Implements a new AgentPluginEditor details pane that displays plugin information, readme, and action buttons for both installed plugins and marketplace items
- Adds reactive action button updates: when a plugin is enabled/disabled, installed/uninstalled, buttons update in real-time without re-rendering the entire editor
- Makes the marketplace name a clickable link to the GitHub repository (when githubRepo is available)
- Adds proper CSS classes to action buttons (install, enable, disable, uninstall) so they render correctly in the header
- Handles state transitions: marketplace items automatically become installed items when installed, and vice versa
- Supports readme rendering from local files, remote repositories, and GitHub blob URLs (converting to raw.githubusercontent.com for proper fetching)

Fixes #297246

(Commit message generated by Copilot)",866,60,microsoft/vscode,0,0,0,0,1,0,32,23,8,0,102
3337575229,298369,closed,1,8,4,2,12,4,1,6.0,10,0,0.0,2026-02-27T22:34:35Z,2026-02-27T22:47:41Z,0.22,0,3,2,1,mcp: surface task statusMessage notifications in chat progress,"- When a tool call returns a CreateTaskResult, the MCP server now forwards
  task statusMessage from notifications/tasks/status into the chat progress
  stream via the ToolProgress callback
- Adds onStatusMessage optional callback to McpTask constructor to report
  status messages as they come in from server notifications
- Updates callTool method signature to accept onStatusMessage callback,
  passed from _callWithProgress in mcpServer.ts
- This allows task-mode MCP tools to communicate progress through the
  established progress channel without requiring duplicate progress
  notifications

Fixes #298013",612,62,microsoft/vscode,0,0,0,0,1,0,5,4,4,0,25
3337537469,298366,closed,1,28,22,2,50,6,1,25.0,43,0,0.0,2026-02-27T22:19:38Z,2026-02-27T22:35:21Z,0.26,0,0,2,1,fix chat question carousel with title row and styling,fix https://github.com/microsoft/vscode/issues/298362,53,53,microsoft/vscode,0,0,0,0,1,0,3,0,2,0,9
3337530329,298365,closed,1,4,0,1,4,4,2,4.0,4,0,0.0,2026-02-27T22:16:58Z,2026-02-27T22:40:34Z,0.39,0,0,2,1,chat: fix dropdown action order to match default,"- Reorders dropdown actions to show queue/steer (the default actions) before stop and send (destructive action)
- Marks the configured default action as checked so it's focused when the dropdown opens with keyboard
- This ensures the dropdown pre-selection matches the action that would be triggered by pressing Enter

Fixes #297559

(Commit message generated by Copilot)",371,48,microsoft/vscode,0,0,0,0,1,0,0,0,2,0,6
3337445230,298360,closed,1,61,30,3,91,31,1,30.33,64,1,0.2088,2026-02-27T21:51:00Z,2026-02-27T22:54:11Z,1.05,0,3,2,1,improve question carousel submit button flow,"Fixes #292404

Kept `>` as navigation only and stopped it from becoming `Submit` on the last page.

- Added a separate `Submit` button shown only on the last question.
- Disabled `>` on the last question.
- Updated CSS and tests to enforce this behavior.

Result: users can no longer accidentally submit by repeatedly clicking `>`; submission is explicit.

https://github.com/user-attachments/assets/0d1b6c57-5381-489a-93d7-fbb0fe70d090

",450,44,microsoft/vscode,0,0,0,0,1,0,18,9,12,0,72
3337341959,298352,closed,1,343,392,9,735,-49,2,81.67,353,2,0.2694,2026-02-27T21:13:28Z,2026-02-27T22:37:22Z,1.4,0,0,2,1,plugins: store installed plugins in storage rather than paths,"This simplifies some things and sets the groundwork for more special things (like updating and disk cleanup) that we'll do with marketplace plugins.

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",494,61,microsoft/vscode,0,0,0,0,0,0,46,50,20,0,206
3337332380,298351,closed,1,12,1,2,13,11,1,6.5,11,0,0.0,2026-02-27T21:10:04Z,2026-02-27T21:42:38Z,0.54,0,0,2,1,plugins: add a /plugins command to open the plugins view,"Common entrypoint from other tools. Similar to /skills

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",400,56,microsoft/vscode,0,0,0,0,0,0,0,2,3,0,13
3337288172,298350,closed,1,81,4,2,85,77,1,42.5,52,0,0.0,2026-02-27T20:54:23Z,2026-02-27T21:40:31Z,0.77,0,3,2,1,sessions: be overly verbose about errors that happen during serialization,"Not sure the error is in here, but if it is, this should help.

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",408,73,microsoft/vscode,0,0,0,0,0,0,10,10,4,0,42
